BODY Dose (GY),BODY Value (% of 6330.3351 cc),Brain Dose (GY),Brain Value (% of 1708.834 cc),Brain Stem Dose (GY),Brain Stem Value (% of 32.5007 cc),Cochlea - Lt Dose (GY),Cochlea - Lt Value (% of 1.7528 cc),Cochlea - Rt Dose (GY),Cochlea - Rt Value (% of 1.2089 cc),GTV1 32.5/5 Dose (GY),GTV1 32.5/5 Value (% of 3.0524 cc),GTV2 30.0/5 Dose (GY),GTV2 30.0/5 Value (% of 0.7346 cc),Lens - Lt Dose (GY),Lens - Lt Value (% of 0.29487 cc),Lens - Rt Dose (GY),Lens - Rt Value (% of 0.26776 cc),Optic Chiasm Dose (GY),Optic Chiasm Value (% of 0.6117 cc),Optic Nerve - Lt Dose (GY),Optic Nerve - Lt Value (% of 1.0818 cc),Optic Nerve - Rt Dose (GY),Optic Nerve - Rt Value (% of 1.2178 cc),Orbit - Lt Dose (GY),Orbit - Lt Value (% of 9.2535 cc),Orbit - Rt Dose (GY),Orbit - Rt Value (% of 9.1395 cc),PTV1 32.5/5 Dose (GY),PTV1 32.5/5 Value (% of 8.3932 cc),PTV2 30.0/5 Dose (GY),PTV2 30.0/5 Value (% of 3.0931 cc),Skin Dose (GY),Skin Value (% of 1065.4898 cc),Spinal Canal Dose (GY),Spinal Canal Value (% of 23.2272 cc)
0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
0.1,51.5736745,0.1,92.8688607,0.1,90.1409058,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,100,0.1,39.8786279,0.1,0
0.3,44.7049951,0.3,88.2046455,0.3,80.4615385,0.3,90.6158358,0.3,2.3192888,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,100,0.3,31.5916961,0.3,0
0.5,38.6784898,0.5,79.4127741,0.5,66.690151,0.5,20.4478806,0.5,0,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,100,0.5,25.6198423,0.5,0
0.7,34.0769242,0.7,71.4259462,0.7,57.2336449,0.7,0,0.7,0,0.7,100,0.7,100,0.7,100,0.7,100,0.7,100,0.7,100,0.7,100,0.7,100,0.7,99.9028531,0.7,100,0.7,100,0.7,21.6929463,0.7,0
0.9,29.4307423,0.9,62.4458512,0.9,52.4069015,0.9,0,0.9,0,0.9,100,0.9,100,0.9,100,0.9,100,0.9,100,0.9,100,0.9,100,0.9,99.025351,0.9,98.0724,0.9,100,0.9,100,0.9,19.1729646,0.9,0
1.1,23.6923165,1.1,45.6798131,1.1,49.3745507,1.1,0,1.1,0,1.1,100,1.1,100,1.1,100,1.1,100,1.1,100,1.1,100,1.1,100,1.1,96.1620038,1.1,95.3420595,1.1,100,1.1,100,1.1,17.4175122,1.1,0
1.3,21.3649145,1.3,40.2077105,1.3,46.9877786,1.3,0,1.3,0,1.3,100,1.3,100,1.3,100,1.3,100,1.3,100,1.3,100,1.3,100,1.3,93.6016564,1.3,92.606606,1.3,100,1.3,100,1.3,15.9003831,1.3,0
1.5,19.6822939,1.5,36.7174385,1.5,44.0474479,1.5,0,1.5,0,1.5,100,1.5,100,1.5,100,1.5,100,1.5,100,1.5,100,1.5,100,1.5,90.7989092,1.5,88.802536,1.5,100,1.5,100,1.5,14.6144285,1.5,0
1.7,18.1773635,1.7,33.6242053,1.7,41.6333573,1.7,0,1.7,0,1.7,100,1.7,100,1.7,98.8906498,1.7,99.6509599,1.7,100,1.7,100,1.7,100,1.7,87.3851126,1.7,84.2366295,1.7,100,1.7,100,1.7,13.4686873,1.7,0
1.9,16.7699705,1.9,30.650803,1.9,39.2925953,1.9,0,1.9,0,1.9,100,1.9,100,1.9,87.3217116,1.9,94.0663176,1.9,100,1.9,100,1.9,100,1.9,83.7390163,1.9,80.0081808,1.9,100,1.9,100,1.9,12.4616244,1.9,0
2.1,15.5170811,2.1,27.9896117,2.1,37.2365205,2.1,0,2.1,0,2.1,100,2.1,100,2.1,76.5451664,2.1,88.1326353,2.1,100,2.1,100,2.1,100,2.1,80.1434199,2.1,75.3911443,2.1,100,2.1,100,2.1,11.5749951,2.1,0
2.3,14.3876544,2.3,25.6892804,2.3,34.736161,2.3,0,2.3,0,2.3,100,2.3,100,2.3,69.7305864,2.3,78.7085515,2.3,100,2.3,100,2.3,100,2.3,76.3205737,2.3,70.33439,2.3,100,2.3,100,2.3,10.7379689,2.3,0
2.5,13.3725146,2.5,23.6659383,2.5,31.8519051,2.5,0,2.5,0,2.5,100,2.5,100,2.5,63.3914422,2.5,69.6335079,2.5,100,2.5,100,2.5,100,2.5,72.5734774,2.5,64.6282851,2.5,100,2.5,100,2.5,9.9556334,2.5,0
2.7,12.4394027,2.7,21.8638265,2.7,28.5650611,2.7,0,2.7,0,2.7,100,2.7,100,2.7,57.3692552,2.7,60.3839442,2.7,100,2.7,100,2.7,100,2.7,68.8112312,2.7,58.1603436,2.7,100,2.7,100,2.7,9.2168049,2.7,0
2.9,11.5834688,2.9,20.2304679,2.9,25.1775701,2.9,0,2.9,0,2.9,100,2.9,100,2.9,52.1394612,2.9,37.6963351,2.9,100,2.9,100,2.9,100,2.9,64.953035,2.9,48.4558748,2.9,100,2.9,100,2.9,8.4923617,2.9,0
3.1,10.7999737,3.1,18.747732,3.1,21.7282531,3.1,0,3.1,0,3.1,100,3.1,100,3.1,47.5435816,3.1,13.7870855,3.1,100,3.1,100,3.1,100,3.1,61.3776386,3.1,35.7858677,3.1,100,3.1,100,3.1,7.7879177,3.1,0
3.3,10.081757,3.3,17.4172047,3.3,18.4586628,3.3,0,3.3,0,3.3,100,3.3,100,3.3,40.2535658,3.3,1.5706806,3.3,100,3.3,100,3.3,96.8150422,3.3,58.1254419,3.3,23.0493916,3.3,100,3.3,100,3.3,7.1060604,3.3,0
3.5,9.4290031,3.5,16.2502895,3.5,15.1833214,3.5,0,3.5,0,3.5,100,3.5,100,3.5,35.6576862,3.5,0,3.5,100,3.5,100,3.5,77.3215656,3.5,55.0802949,3.5,12.7620411,3.5,100,3.5,100,3.5,6.4568334,3.5,0
3.7,8.8391211,3.7,15.231864,3.7,11.8777858,3.7,0,3.7,0,3.7,100,3.7,100,3.7,28.0507132,3.7,0,3.7,100,3.7,100,3.7,50,3.7,52.1462479,3.7,5.557828,3.7,100,3.7,100,3.7,5.8591831,3.7,0
3.9,8.2963727,3.9,14.3229324,3.9,8.5751258,3.9,0,3.9,0,3.9,100,3.9,100,3.9,23.6133122,3.9,0,3.9,100,3.9,100,3.9,34.8426708,3.9,49.5202505,3.9,1.2066673,3.9,100,3.9,100,3.9,5.3095133,3.9,0
4.1,7.79593,4.1,13.5019734,4.1,5.8102085,4.1,0,4.1,0,4.1,100,4.1,100,4.1,15.5309033,4.1,0,4.1,100,4.1,100,4.1,28.856485,4.1,46.9346531,4.1,0,4.1,100,4.1,100,4.1,4.8028241,4.1,0
4.3,7.3371066,4.3,12.7695066,4.3,3.7641984,4.3,0,4.3,0,4.3,100,4.3,100,4.3,9.5087163,4.3,0,4.3,99.618029,4.3,100,4.3,24.7122026,4.3,44.2329058,4.3,0,4.3,100,4.3,100,4.3,4.3480187,4.3,0
4.5,6.914558,4.5,12.1105463,4.5,2.2846873,4.5,0,4.5,0,4.5,100,4.5,100,4.5,3.8034865,4.5,0,4.5,97.4789916,4.5,100,4.5,22.7551804,4.5,41.1322089,4.5,0,4.5,100,4.5,100,4.5,3.9243085,4.5,0
4.7,6.5270662,4.7,11.5153845,4.7,1.263839,4.7,0,4.7,0,4.7,100,4.7,100,4.7,0,4.7,0,4.7,94.9579832,4.7,100,4.7,21.066769,4.7,37.8951621,4.7,0,4.7,100,4.7,100,4.7,3.5251147,4.7,0
4.9,6.1678544,4.9,10.9685708,4.9,0.6196981,4.9,0,4.9,0,4.9,100,4.9,100,4.9,0,4.9,0,4.9,90.8326967,4.9,100,4.9,18.9946278,4.9,34.5874154,4.9,0,4.9,100,4.9,100,4.9,3.1480692,4.9,0
5.1,5.8348412,5.1,10.4643624,5.1,0.2703091,5.1,0,5.1,0,5.1,100,5.1,100,5.1,0,5.1,0,5.1,87.0893812,5.1,100,5.1,15.9631619,5.1,31.0928189,5.1,0,5.1,100,5.1,100,5.1,2.795277,5.1,0
5.3,5.5251105,5.3,9.9938444,5.3,0.0819554,5.3,0,5.3,0,5.3,100,5.3,100,5.3,0,5.3,0,5.3,83.9572193,5.3,100,5.3,12.2409823,5.3,27.6032724,5.3,0,5.3,100,5.3,100,5.3,2.4661242,5.3,0
5.5,5.236743,5.5,9.5532704,5.5,0.00431344,5.5,0,5.5,0,5.5,100,5.5,100,5.5,0,5.5,0,5.5,78.3804431,5.5,100,5.5,8.0966999,5.5,24.1743258,5.5,0,5.5,100,5.5,100,5.5,2.1615318,5.5,0
5.7,4.968233,5.7,9.1446095,5.7,0,5.7,0,5.7,0,5.7,100,5.7,100,5.7,0,5.7,0,5.7,65.4698243,5.7,100,5.7,3.9140445,5.7,20.9019291,5.7,0,5.7,100,5.7,100,5.7,1.8894818,5.7,0
5.9,4.7160001,5.9,8.7649901,5.9,0,5.9,0,5.9,0,5.9,100,5.9,100,5.9,0,5.9,0,5.9,51.7952636,5.9,100,5.9,1.0744436,5.9,17.8012322,5.9,0,5.9,100,5.9,100,5.9,1.6419046,5.9,0
6.1,4.4785827,6.1,8.4107754,6.1,0,6.1,0,6.1,0,6.1,100,6.1,100,6.1,0,6.1,0,6.1,38.961039,6.1,100,6.1,0,6.1,14.9479851,6.1,0,6.1,100,6.1,100,6.1,1.4145457,6.1,0
6.3,4.2556782,6.3,8.0790391,6.3,0,6.3,0,6.3,0,6.3,100,6.3,100,6.3,0,6.3,0,6.3,28.8006112,6.3,100,6.3,0,6.3,12.3977376,6.3,0,6.3,100,6.3,100,6.3,1.2120981,6.3,0
6.5,4.0452565,6.5,7.7652146,6.5,0,6.5,0,6.5,0,6.5,100,6.5,100,6.5,0,6.5,0,6.5,22.3071047,6.5,100,6.5,0,6.5,10.2211898,6.5,0,6.5,100,6.5,100,6.5,1.0294742,6.5,0
6.7,3.8461808,6.7,7.4700402,6.7,0,6.7,0,6.7,0,6.7,100,6.7,100,6.7,0,6.7,0,6.7,17.723453,6.7,100,6.7,0,6.7,8.1759418,6.7,0,6.7,100,6.7,100,6.7,0.8677266,6.7,0
6.9,3.658274,6.9,7.1907813,6.9,0,6.9,0,6.9,0,6.9,100,6.9,100,6.9,0,6.9,0,6.9,13.7509549,6.9,99.8272138,6.9,0,6.9,6.4437936,6.9,0,6.9,100,6.9,100,6.9,0.7233029,6.9,0
7.1,3.4807388,7.1,6.9256056,7.1,0,7.1,0,7.1,0,7.1,100,7.1,100,7.1,0,7.1,0,7.1,10.9243697,7.1,99.049676,7.1,0,7.1,5.009595,7.1,0,7.1,100,7.1,100,7.1,0.5935715,7.1,0
7.3,3.3129846,7.3,6.673474,7.3,0,7.3,0,7.3,0,7.3,100,7.3,100,7.3,0,7.3,0,7.3,8.0977846,7.3,98.0993521,7.3,0,7.3,3.7622462,7.3,0,7.3,100,7.3,100,7.3,0.4786641,7.3,0
7.5,3.1544135,7.5,6.4329372,7.5,0,7.5,0,7.5,0,7.5,100,7.5,100,7.5,0,7.5,0,7.5,5.9587471,7.5,96.8898488,7.5,0,7.5,2.7219473,7.5,0,7.5,100,7.5,100,7.5,0.3801594,7.5,0
7.7,3.0049074,7.7,6.2042687,7.7,0,7.7,0,7.7,0,7.7,100,7.7,100,7.7,0,7.7,0,7.7,3.9724981,7.7,95.2051836,7.7,0,7.7,1.8987981,7.7,0,7.7,100,7.7,100,7.7,0.2981015,7.7,0
7.9,2.8645992,7.9,5.9876324,7.9,0,7.9,0,7.9,0,7.9,100,7.9,100,7.9,0,7.9,0,7.9,2.4446142,7.9,92.9157667,7.9,0,7.9,1.2776487,7.9,0,7.9,100,7.9,100,7.9,0.2278851,7.9,0
8.1,2.7320421,8.1,5.7810049,8.1,0,8.1,0,8.1,0,8.1,100,8.1,100,8.1,0,8.1,0,8.1,1.1459129,8.1,90.5831533,8.1,0,8.1,0.8029492,8.1,0,8.1,100,8.1,100,8.1,0.1725366,8.1,0
8.3,2.6078707,8.3,5.5830187,8.3,0,8.3,0,8.3,0,8.3,100,8.3,100,8.3,0,8.3,0,8.3,0.381971,8.3,88.1641469,8.3,0,8.3,0.4342996,8.3,0,8.3,100,8.3,100,8.3,0.1281086,8.3,0
8.5,2.4914947,8.5,5.3967367,8.5,0,8.5,0,8.5,0,8.5,100,8.5,100,8.5,0,8.5,0,8.5,0.0763942,8.5,85.399568,8.5,0,8.5,0.1918998,8.5,0,8.5,100,8.5,100,8.5,0.0953469,8.5,0
8.7,2.3817182,8.7,5.2152949,8.7,0,8.7,0,8.7,0,8.7,100,8.7,100,8.7,0,8.7,0,8.7,0,8.7,82.7645788,8.7,0,8.7,0.0656499,8.7,0,8.7,100,8.7,100,8.7,0.0709619,8.7,0
8.9,2.278984,8.9,5.0433696,8.9,0,8.9,0,8.9,0,8.9,100,8.9,100,8.9,0,8.9,0,8.9,0,8.9,80.4319654,8.9,0,8.9,0,8.9,0,8.9,100,8.9,100,8.9,0.0531118,8.9,0
9.1,2.1816238,9.1,4.8791286,9.1,0,9.1,0,9.1,0,9.1,100,9.1,100,9.1,0,9.1,0,9.1,0,9.1,78.012959,9.1,0,9.1,0,9.1,0,9.1,100,9.1,100,9.1,0.0387264,9.1,0
9.3,2.0903389,9.3,4.7212593,9.3,0,9.3,0,9.3,0,9.3,100,9.3,100,9.3,0,9.3,0,9.3,0,9.3,75.3779698,9.3,0,9.3,0,9.3,0,9.3,100,9.3,100,9.3,0.0299549,9.3,0
9.5,2.0042583,9.5,4.5705546,9.5,0,9.5,0,9.5,0,9.5,100,9.5,100,9.5,0,9.5,0,9.5,0,9.5,72.8725702,9.5,0,9.5,0,9.5,0,9.5,100,9.5,100,9.5,0.022192,9.5,0
9.7,1.9228653,9.7,4.4270146,9.7,0,9.7,0,9.7,0,9.7,100,9.7,100,9.7,0,9.7,0,9.7,0,9.7,70.6695464,9.7,0,9.7,0,9.7,0,9.7,100,9.7,100,9.7,0.0164028,9.7,0
9.9,1.8458201,9.9,4.2892173,9.9,0,9.9,0,9.9,0,9.9,100,9.9,100,9.9,0,9.9,0,9.9,0,9.9,68.4233261,9.9,0,9.9,0,9.9,0,9.9,100,9.9,100,9.9,0.0116223,9.9,0
10.1,1.7730491,10.1,4.1574635,10.1,0,10.1,0,10.1,0,10.1,100,10.1,100,10.1,0,10.1,0,10.1,0,10.1,66.2634989,10.1,0,10.1,0,10.1,0,10.1,100,10.1,100,10.1,0.0078944,10.1,0
10.3,1.7044489,10.3,4.0311243,10.3,0,10.3,0,10.3,0,10.3,100,10.3,100,10.3,0,10.3,0,10.3,0,10.3,64.2764579,10.3,0,10.3,0,10.3,0,10.3,100,10.3,100,10.3,0.00508751,10.3,0
10.5,1.6398571,10.5,3.9108286,10.5,0,10.5,0,10.5,0,10.5,100,10.5,100,10.5,0,10.5,0,10.5,0,10.5,62.1598272,10.5,0,10.5,0,10.5,0,10.5,100,10.5,100,10.5,0.00245604,10.5,0
10.7,1.5782255,10.7,3.7941152,10.7,0,10.7,0,10.7,0,10.7,100,10.7,100,10.7,0,10.7,0,10.7,0,10.7,60.1727862,10.7,0,10.7,0,10.7,0,10.7,100,10.7,100,10.7,0.00109645,10.7,0
10.9,1.5203143,10.9,3.6835,10.9,0,10.9,0,10.9,0,10.9,100,10.9,100,10.9,0,10.9,0,10.9,0,10.9,58.3153348,10.9,0,10.9,0,10.9,0,10.9,100,10.9,100,10.9,0.00039472,10.9,0
11.1,1.4651639,11.1,3.5747716,11.1,0,11.1,0,11.1,0,11.1,100,11.1,100,11.1,0,11.1,0,11.1,0,11.1,56.7602592,11.1,0,11.1,0,11.1,0,11.1,100,11.1,100,11.1,8.77156E-05,11.1,0
11.3,1.4142877,11.3,3.4734268,11.3,0,11.3,0,11.3,0,11.3,100,11.3,100,11.3,0,11.3,0,11.3,0,11.3,54.9028078,11.3,0,11.3,0,11.3,0,11.3,100,11.3,100,11.3,4.38578E-05,11.3,0
11.5,1.3652644,11.5,3.3755822,11.5,0,11.5,0,11.5,0,11.5,100,11.5,100,11.5,0,11.5,0,11.5,0,11.5,53.0885529,11.5,0,11.5,0,11.5,0,11.5,100,11.5,100,11.5,0,11.5,0
11.7,1.3186254,11.7,3.2814294,11.7,0,11.7,0,11.7,0,11.7,100,11.7,100,11.7,0,11.7,0,11.7,0,11.7,51.1447084,11.7,0,11.7,0,11.7,0,11.7,100,11.7,100,11.7,0,11.7,0
11.9,1.27567,11.9,3.1924997,11.9,0,11.9,0,11.9,0,11.9,100,11.9,100,11.9,0,11.9,0,11.9,0,11.9,49.1144708,11.9,0,11.9,0,11.9,0,11.9,100,11.9,100,11.9,0,11.9,0
12.1,1.2336226,12.1,3.1057304,12.1,0,12.1,0,12.1,0,12.1,100,12.1,100,12.1,0,12.1,0,12.1,0,12.1,46.7386609,12.1,0,12.1,0,12.1,0,12.1,100,12.1,100,12.1,0,12.1,0
12.3,1.1951185,12.3,3.0253874,12.3,0,12.3,0,12.3,0,12.3,100,12.3,100,12.3,0,12.3,0,12.3,0,12.3,44.1036717,12.3,0,12.3,0,12.3,0,12.3,100,12.3,100,12.3,0,12.3,0
12.5,1.1578102,12.5,2.9450717,12.5,0,12.5,0,12.5,0,12.5,100,12.5,100,12.5,0,12.5,0,12.5,0,12.5,41.1663067,12.5,0,12.5,0,12.5,0,12.5,100,12.5,100,12.5,0,12.5,0
12.7,1.1217643,12.7,2.8682837,12.7,0,12.7,0,12.7,0,12.7,100,12.7,100,12.7,0,12.7,0,12.7,0,12.7,38.012959,12.7,0,12.7,0,12.7,0,12.7,100,12.7,100,12.7,0,12.7,0
12.9,1.0879477,12.9,2.7945038,12.9,0,12.9,0,12.9,0,12.9,100,12.9,100,12.9,0,12.9,0,12.9,0,12.9,35.161987,12.9,0,12.9,0,12.9,0,12.9,100,12.9,100,12.9,0,12.9,0
13.1,1.0559545,13.1,2.7252633,13.1,0,13.1,0,13.1,0,13.1,100,13.1,100,13.1,0,13.1,0,13.1,0,13.1,32.224622,13.1,0,13.1,0,13.1,0,13.1,100,13.1,100,13.1,0,13.1,0
13.3,1.0244041,13.3,2.6566791,13.3,0,13.3,0,13.3,0,13.3,100,13.3,100,13.3,0,13.3,0,13.3,0,13.3,29.287257,13.3,0,13.3,0,13.3,0,13.3,100,13.3,100,13.3,0,13.3,0
13.5,0.995526,13.5,2.5927165,13.5,0,13.5,0,13.5,0,13.5,100,13.5,100,13.5,0,13.5,0,13.5,0,13.5,26.7386609,13.5,0,13.5,0,13.5,0,13.5,100,13.5,100,13.5,0,13.5,0
13.7,0.9676593,13.7,2.5301211,13.7,0,13.7,0,13.7,0,13.7,100,13.7,100,13.7,0,13.7,0,13.7,0,13.7,24.2332613,13.7,0,13.7,0,13.7,0,13.7,100,13.7,100,13.7,0,13.7,0
13.9,0.9402945,13.9,2.4693579,13.9,0,13.9,0,13.9,0,13.9,100,13.9,100,13.9,0,13.9,0,13.9,0,13.9,21.8142549,13.9,0,13.9,0,13.9,0,13.9,100,13.9,100,13.9,0,13.9,0
14.1,0.9149671,14.1,2.4118216,14.1,0,14.1,0,14.1,0,14.1,100,14.1,100,14.1,0,14.1,0,14.1,0,14.1,19.4384449,14.1,0,14.1,0,14.1,0,14.1,100,14.1,100,14.1,0,14.1,0
14.3,0.8909759,14.3,2.3573207,14.3,0,14.3,0,14.3,0,14.3,100,14.3,100,14.3,0,14.3,0,14.3,0,14.3,17.4082073,14.3,0,14.3,0,14.3,0,14.3,100,14.3,100,14.3,0,14.3,0
14.5,0.867147,14.5,2.3029292,14.5,0,14.5,0,14.5,0,14.5,100,14.5,100,14.5,0,14.5,0,14.5,0,14.5,15.3779698,14.5,0,14.5,0,14.5,0,14.5,100,14.5,100,14.5,0,14.5,0
14.7,0.844957,14.7,2.2522568,14.7,0,14.7,0,14.7,0,14.7,100,14.7,100,14.7,0,14.7,0,14.7,0,14.7,13.4773218,14.7,0,14.7,0,14.7,0,14.7,100,14.7,100,14.7,0,14.7,0
14.9,0.8231729,14.9,2.2010922,14.9,0,14.9,0,14.9,0,14.9,100,14.9,100,14.9,0,14.9,0,14.9,0,14.9,11.7926566,14.9,0,14.9,0,14.9,0,14.9,100,14.9,100,14.9,0,14.9,0
15.1,0.8027398,15.1,2.1542482,15.1,0,15.1,0,15.1,0,15.1,100,15.1,100,15.1,0,15.1,0,15.1,0,15.1,9.8920086,15.1,0,15.1,0,15.1,0,15.1,100,15.1,100,15.1,0,15.1,0
15.3,0.7831334,15.3,2.1085254,15.3,0,15.3,0,15.3,0,15.3,100,15.3,100,15.3,0,15.3,0,15.3,0,15.3,8.6825054,15.3,0,15.3,0,15.3,0,15.3,100,15.3,100,15.3,0,15.3,0
15.5,0.7638739,15.5,2.0643887,15.5,0,15.5,0,15.5,0,15.5,100,15.5,100,15.5,0,15.5,0,15.5,0,15.5,7.0410367,15.5,0,15.5,0,15.5,0,15.5,100,15.5,100,15.5,0,15.5,0
15.7,0.7454191,15.7,2.0220569,15.7,0,15.7,0,15.7,0,15.7,100,15.7,100,15.7,0,15.7,0,15.7,0,15.7,6.0907127,15.7,0,15.7,0,15.7,0,15.7,100,15.7,100,15.7,0,15.7,0
15.9,0.7278502,15.9,1.9809009,15.9,0,15.9,0,15.9,0,15.9,100,15.9,100,15.9,0,15.9,0,15.9,0,15.9,4.838013,15.9,0,15.9,0,15.9,0,15.9,100,15.9,100,15.9,0,15.9,0
16.1,0.7110341,16.1,1.9409208,16.1,0,16.1,0,16.1,0,16.1,100,16.1,100,16.1,0,16.1,0,16.1,0,16.1,4.0172786,16.1,0,16.1,0,16.1,0,16.1,100,16.1,100,16.1,0,16.1,0
16.3,0.6945503,16.3,1.9023901,16.3,0,16.3,0,16.3,0,16.3,100,16.3,100,16.3,0,16.3,0,16.3,0,16.3,3.0237581,16.3,0,16.3,0,16.3,0,16.3,100,16.3,100,16.3,0,16.3,0
16.5,0.6789302,16.5,1.8657189,16.5,0,16.5,0,16.5,0,16.5,100,16.5,100,16.5,0,16.5,0,16.5,0,16.5,2.5917927,16.5,0,16.5,0,16.5,0,16.5,100,16.5,100,16.5,0,16.5,0
16.7,0.6642475,16.7,1.8305517,16.7,0,16.7,0,16.7,0,16.7,100,16.7,100,16.7,0,16.7,0,16.7,0,16.7,1.987041,16.7,0,16.7,0,16.7,0,16.7,100,16.7,100,16.7,0,16.7,0
16.9,0.649934,16.9,1.7966425,16.9,0,16.9,0,16.9,0,16.9,100,16.9,100,16.9,0,16.9,0,16.9,0,16.9,1.6414687,16.9,0,16.9,0,16.9,0,16.9,100,16.9,100,16.9,0,16.9,0
17.1,0.6358714,17.1,1.7628426,17.1,0,17.1,0,17.1,0,17.1,100,17.1,100,17.1,0,17.1,0,17.1,0,17.1,1.2958963,17.1,0,17.1,0,17.1,0,17.1,100,17.1,100,17.1,0,17.1,0
17.3,0.6220229,17.3,1.7298358,17.3,0,17.3,0,17.3,0,17.3,100,17.3,100,17.3,0,17.3,0,17.3,0,17.3,0.950324,17.3,0,17.3,0,17.3,0,17.3,100,17.3,100,17.3,0,17.3,0
17.5,0.6097542,17.5,1.7002473,17.5,0,17.5,0,17.5,0,17.5,100,17.5,100,17.5,0,17.5,0,17.5,0,17.5,0.6479482,17.5,0,17.5,0,17.5,0,17.5,100,17.5,100,17.5,0,17.5,0
17.7,0.5973304,17.7,1.6691274,17.7,0,17.7,0,17.7,0,17.7,100,17.7,100,17.7,0,17.7,0,17.7,0,17.7,0.5183585,17.7,0,17.7,0,17.7,0,17.7,100,17.7,100,17.7,0,17.7,0
17.9,0.5851428,17.9,1.6394021,17.9,0,17.9,0,17.9,0,17.9,100,17.9,100,17.9,0,17.9,0,17.9,0,17.9,0.3455724,17.9,0,17.9,0,17.9,0,17.9,100,17.9,100,17.9,0,17.9,0
