BODY Dose (GY),BODY Value (% of 6330.3351 cc),Brain Dose (GY),Brain Value (% of 1708.834 cc),Brain Stem Dose (GY),Brain Stem Value (% of 32.5007 cc),Cochlea - Lt Dose (GY),Cochlea - Lt Value (% of 1.7528 cc),Cochlea - Rt Dose (GY),Cochlea - Rt Value (% of 1.2089 cc),GTV1 32.5/5 Dose (GY),GTV1 32.5/5 Value (% of 3.0524 cc),GTV2 30.0/5 Dose (GY),GTV2 30.0/5 Value (% of 0.7346 cc),Lens - Lt Dose (GY),Lens - Lt Value (% of 0.29487 cc),Lens - Rt Dose (GY),Lens - Rt Value (% of 0.26776 cc),Optic Chiasm Dose (GY),Optic Chiasm Value (% of 0.6117 cc),Optic Nerve - Lt Dose (GY),Optic Nerve - Lt Value (% of 1.0818 cc),Optic Nerve - Rt Dose (GY),Optic Nerve - Rt Value (% of 1.2178 cc),Orbit - Lt Dose (GY),Orbit - Lt Value (% of 9.2535 cc),Orbit - Rt Dose (GY),Orbit - Rt Value (% of 9.1395 cc),PTV1 32.5/5 Dose (GY),PTV1 32.5/5 Value (% of 8.3932 cc),PTV2 30.0/5 Dose (GY),PTV2 30.0/5 Value (% of 3.0931 cc),Skin Dose (GY),Skin Value (% of 1065.4898 cc),Spinal Canal Dose (GY),Spinal Canal Value (% of 23.2272 cc)
18.1,0.5737525,18.1,1.6115364,18.1,0,18.1,0,18.1,0,18.1,100,18.1,100,18.1,0,18.1,0,18.1,0,18.1,0.1727862,18.1,0,18.1,0,18.1,0,18.1,100,18.1,100,18.1,0,18.1,0
18.3,0.5625615,18.3,1.5844637,18.3,0,18.3,0,18.3,0,18.3,100,18.3,100,18.3,0,18.3,0,18.3,0,18.3,0.1295896,18.3,0,18.3,0,18.3,0,18.3,100,18.3,100,18.3,0,18.3,0
18.5,0.5513189,18.5,1.556051,18.5,0,18.5,0,18.5,0,18.5,100,18.5,100,18.5,0,18.5,0,18.5,0,18.5,0.1295896,18.5,0,18.5,0,18.5,0,18.5,100,18.5,100,18.5,0,18.5,0
18.7,0.540962,18.7,1.5298807,18.7,0,18.7,0,18.7,0,18.7,100,18.7,100,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,100,18.7,100,18.7,0,18.7,0
18.9,0.5308488,18.9,1.5052145,18.9,0,18.9,0,18.9,0,18.9,100,18.9,100,18.9,0,18.9,0,18.9,0,18.9,0,18.9,0,18.9,0,18.9,0,18.9,100,18.9,100,18.9,0,18.9,0
19.1,0.521304,19.1,1.4810132,19.1,0,19.1,0,19.1,0,19.1,100,19.1,100,19.1,0,19.1,0,19.1,0,19.1,0,19.1,0,19.1,0,19.1,0,19.1,100,19.1,100,19.1,0,19.1,0
19.3,0.5115303,19.3,1.4577416,19.3,0,19.3,0,19.3,0,19.3,100,19.3,100,19.3,0,19.3,0,19.3,0,19.3,0,19.3,0,19.3,0,19.3,0,19.3,100,19.3,100,19.3,0,19.3,0
19.5,0.5021848,19.5,1.4348255,19.5,0,19.5,0,19.5,0,19.5,100,19.5,100,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0,19.5,100,19.5,100,19.5,0,19.5,0
19.7,0.4929131,19.7,1.4115539,19.7,0,19.7,0,19.7,0,19.7,100,19.7,100,19.7,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7,100,19.7,100,19.7,0,19.7,0
19.9,0.4845715,19.9,1.391017,19.9,0,19.9,0,19.9,0,19.9,100,19.9,100,19.9,0,19.9,0,19.9,0,19.9,0,19.9,0,19.9,0,19.9,0,19.9,100,19.9,100,19.9,0,19.9,0
20.1,0.475979,20.1,1.3691947,20.1,0,20.1,0,20.1,0,20.1,100,20.1,100,20.1,0,20.1,0,20.1,0,20.1,0,20.1,0,20.1,0,20.1,0,20.1,100,20.1,100,20.1,0,20.1,0
20.3,0.4677555,20.3,1.3495328,20.3,0,20.3,0,20.3,0,20.3,100,20.3,100,20.3,0,20.3,0,20.3,0,20.3,0,20.3,0,20.3,0,20.3,0,20.3,100,20.3,100,20.3,0,20.3,0
20.5,0.459473,20.5,1.3297342,20.5,0,20.5,0,20.5,0,20.5,100,20.5,100,20.5,0,20.5,0,20.5,0,20.5,0,20.5,0,20.5,0,20.5,0,20.5,100,20.5,100,20.5,0,20.5,0
20.7,0.4511905,20.7,1.3098809,20.7,0,20.7,0,20.7,0,20.7,100,20.7,100,20.7,0,20.7,0,20.7,0,20.7,0,20.7,0,20.7,0,20.7,0,20.7,100,20.7,100,20.7,0,20.7,0
20.9,0.4435428,20.9,1.2908206,20.9,0,20.9,0,20.9,0,20.9,100,20.9,100,20.9,0,20.9,0,20.9,0,20.9,0,20.9,0,20.9,0,20.9,0,20.9,100,20.9,100,20.9,0,20.9,0
21.1,0.4360797,21.1,1.2724714,21.1,0,21.1,0,21.1,0,21.1,100,21.1,100,21.1,0,21.1,0,21.1,0,21.1,0,21.1,0,21.1,0,21.1,0,21.1,100,21.1,100,21.1,0,21.1,0
21.3,0.4286387,21.3,1.2542862,21.3,0,21.3,0,21.3,0,21.3,100,21.3,100,21.3,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3,0,21.3,100,21.3,100,21.3,0,21.3,0
21.5,0.4212494,21.5,1.236812,21.5,0,21.5,0,21.5,0,21.5,100,21.5,100,21.5,0,21.5,0,21.5,0,21.5,0,21.5,0,21.5,0,21.5,0,21.5,100,21.5,100,21.5,0,21.5,0
21.7,0.414303,21.7,1.2186815,21.7,0,21.7,0,21.7,0,21.7,100,21.7,100,21.7,0,21.7,0,21.7,0,21.7,0,21.7,0,21.7,0,21.7,0,21.7,100,21.7,100,21.7,0,21.7,0
21.9,0.4075855,21.9,1.2017815,21.9,0,21.9,0,21.9,0,21.9,100,21.9,100,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,100,21.9,100,21.9,0,21.9,0
22.1,0.4012518,22.1,1.1857567,22.1,0,22.1,0,22.1,0,22.1,100,22.1,100,22.1,0,22.1,0,22.1,0,22.1,0,22.1,0,22.1,0,22.1,0,22.1,100,22.1,100,22.1,0,22.1,0
22.3,0.3947261,22.3,1.1689388,22.3,0,22.3,0,22.3,0,22.3,100,22.3,100,22.3,0,22.3,0,22.3,0,22.3,0,22.3,0,22.3,0,22.3,0,22.3,100,22.3,100,22.3,0,22.3,0
22.5,0.3885622,22.5,1.153625,22.5,0,22.5,0,22.5,0,22.5,100,22.5,100,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5,0,22.5,100,22.5,100,22.5,0,22.5,0
22.7,0.3829446,22.7,1.1395143,22.7,0,22.7,0,22.7,0,22.7,100,22.7,100,22.7,0,22.7,0,22.7,0,22.7,0,22.7,0,22.7,0,22.7,0,22.7,100,22.7,100,22.7,0,22.7,0
22.9,0.3766995,22.9,1.1234622,22.9,0,22.9,0,22.9,0,22.9,100,22.9,100,22.9,0,22.9,0,22.9,0,22.9,0,22.9,0,22.9,0,22.9,0,22.9,100,22.9,100,22.9,0,22.9,0
23.1,0.3706611,23.1,1.1076834,23.1,0,23.1,0,23.1,0,23.1,100,23.1,100,23.1,0,23.1,0,23.1,0,23.1,0,23.1,0,23.1,0,23.1,0,23.1,100,23.1,100,23.1,0,23.1,0
23.3,0.3646005,23.3,1.0921235,23.3,0,23.3,0,23.3,0,23.3,100,23.3,100,23.3,0,23.3,0,23.3,0,23.3,0,23.3,0,23.3,0,23.3,0,23.3,100,23.3,100,23.3,0,23.3,0
23.5,0.3592117,23.5,1.0785051,23.5,0,23.5,0,23.5,0,23.5,100,23.5,100,23.5,0,23.5,0,23.5,0,23.5,0,23.5,0,23.5,0,23.5,0,23.5,100,23.5,100,23.5,0,23.5,0
23.7,0.3538008,23.7,1.0645038,23.7,0,23.7,0,23.7,0,23.7,100,23.7,100,23.7,0,23.7,0,23.7,0,23.7,0,23.7,0,23.7,0,23.7,0,23.7,100,23.7,100,23.7,0,23.7,0
23.9,0.3486777,23.9,1.051241,23.9,0,23.9,0,23.9,0,23.9,100,23.9,100,23.9,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9,0,23.9,100,23.9,100,23.9,0,23.9,0
24.1,0.3432594,24.1,1.037732,24.1,0,24.1,0,24.1,0,24.1,100,24.1,100,24.1,0,24.1,0,24.1,0,24.1,0,24.1,0,24.1,0,24.1,0,24.1,100,24.1,100,24.1,0,24.1,0
24.3,0.337937,24.3,1.0240589,24.3,0,24.3,0,24.3,0,24.3,100,24.3,100,24.3,0,24.3,0,24.3,0,24.3,0,24.3,0,24.3,0,24.3,0,24.3,100,24.3,100,24.3,0,24.3,0
24.5,0.3325851,24.5,1.0104131,24.5,0,24.5,0,24.5,0,24.5,100,24.5,100,24.5,0,24.5,0,24.5,0,24.5,0,24.5,0,24.5,0,24.5,0,24.5,100,24.5,100,24.5,0,24.5,0
24.7,0.3273366,24.7,0.9967127,24.7,0,24.7,0,24.7,0,24.7,100,24.7,100,24.7,0,24.7,0,24.7,0,24.7,0,24.7,0,24.7,0,24.7,0,24.7,100,24.7,100,24.7,0,24.7,0
24.9,0.3225752,24.9,0.9851179,24.9,0,24.9,0,24.9,0,24.9,100,24.9,100,24.9,0,24.9,0,24.9,0,24.9,0,24.9,0,24.9,0,24.9,0,24.9,100,24.9,100,24.9,0,24.9,0
25.1,0.3179763,25.1,0.973195,25.1,0,25.1,0,25.1,0,25.1,100,25.1,100,25.1,0,25.1,0,25.1,0,25.1,0,25.1,0,25.1,0,25.1,0,25.1,100,25.1,100,25.1,0,25.1,0
25.3,0.3129787,25.3,0.9605884,25.3,0,25.3,0,25.3,0,25.3,100,25.3,100,25.3,0,25.3,0,25.3,0,25.3,0,25.3,0,25.3,0,25.3,0,25.3,100,25.3,100,25.3,0,25.3,0
25.5,0.3080402,25.5,0.9487202,25.5,0,25.5,0,25.5,0,25.5,100,25.5,100,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,100,25.5,100,25.5,0,25.5,0
25.7,0.303087,25.7,0.9359769,25.7,0,25.7,0,25.7,0,25.7,100,25.7,100,25.7,0,25.7,0,25.7,0,25.7,0,25.7,0,25.7,0,25.7,0,25.7,100,25.7,100,25.7,0,25.7,0
25.9,0.2981115,25.9,0.9232883,25.9,0,25.9,0,25.9,0,25.9,100,25.9,100,25.9,0,25.9,0,25.9,0,25.9,0,25.9,0,25.9,0,25.9,0,25.9,100,25.9,100,25.9,0,25.9,0
26.1,0.293114,26.1,0.9107637,26.1,0,26.1,0,26.1,0,26.1,100,26.1,100,26.1,0,26.1,0,26.1,0,26.1,0,26.1,0,26.1,0,26.1,0,26.1,100,26.1,100,26.1,0,26.1,0
26.3,0.2885003,26.3,0.8989502,26.3,0,26.3,0,26.3,0,26.3,100,26.3,100,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,100,26.3,100,26.3,0,26.3,0
26.5,0.2843295,26.5,0.8882305,26.5,0,26.5,0,26.5,0,26.5,100,26.5,100,26.5,0,26.5,0,26.5,0,26.5,0,26.5,0,26.5,0,26.5,0,26.5,100,26.5,100,26.5,0,26.5,0
26.7,0.2801366,26.7,0.8776749,26.7,0,26.7,0,26.7,0,26.7,100,26.7,100,26.7,0,26.7,0,26.7,0,26.7,0,26.7,0,26.7,0,26.7,0,26.7,100,26.7,100,26.7,0,26.7,0
26.9,0.2759732,26.9,0.8666817,26.9,0,26.9,0,26.9,0,26.9,100,26.9,100,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,26.9,100,26.9,100,26.9,0,26.9,0
27.1,0.2715145,27.1,0.8551143,27.1,0,27.1,0,27.1,0,27.1,100,27.1,100,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,0,27.1,100,27.1,100,27.1,0,27.1,0
27.3,0.2672108,27.3,0.8435195,27.3,0,27.3,0,27.3,0,27.3,100,27.3,100,27.3,0,27.3,0,27.3,0,27.3,0,27.3,0,27.3,0,27.3,0,27.3,100,27.3,99.984892,27.3,0,27.3,0
27.5,0.2630696,27.5,0.8328272,27.5,0,27.5,0,27.5,0,27.5,100,27.5,100,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,100,27.5,99.969784,27.5,0,27.5,0
27.7,0.258574,27.7,0.8213692,27.7,0,27.7,0,27.7,0,27.7,100,27.7,100,27.7,0,27.7,0,27.7,0,27.7,0,27.7,0,27.7,0,27.7,0,27.7,100,27.7,99.9395679,27.7,0,27.7,0
27.9,0.2542334,27.9,0.8093642,27.9,0,27.9,0,27.9,0,27.9,100,27.9,100,27.9,0,27.9,0,27.9,0,27.9,0,27.9,0,27.9,0,27.9,0,27.9,100,27.9,99.8035957,27.9,0,27.9,0
28.1,0.2506679,28.1,0.8002032,28.1,0,28.1,0,28.1,0,28.1,100,28.1,100,28.1,0,28.1,0,28.1,0,28.1,0,28.1,0,28.1,0,28.1,0,28.1,100,28.1,99.7733797,28.1,0,28.1,0
28.3,0.2466226,28.3,0.7891007,28.3,0,28.3,0,28.3,0,28.3,100,28.3,100,28.3,0,28.3,0,28.3,0,28.3,0,28.3,0,28.3,0,28.3,0,28.3,100,28.3,99.6827315,28.3,0,28.3,0
28.5,0.2425183,28.5,0.7780528,28.5,0,28.5,0,28.5,0,28.5,100,28.5,100,28.5,0,28.5,0,28.5,0,28.5,0,28.5,0,28.5,0,28.5,0,28.5,100,28.5,99.4863272,28.5,0,28.5,0
28.7,0.2385173,28.7,0.7671964,28.7,0,28.7,0,28.7,0,28.7,100,28.7,100,28.7,0,28.7,0,28.7,0,28.7,0,28.7,0,28.7,0,28.7,0,28.7,100,28.7,99.1841668,28.7,0,28.7,0
28.9,0.2343244,28.9,0.7562306,28.9,0,28.9,0,28.9,0,28.9,100,28.9,100,28.9,0,28.9,0,28.9,0,28.9,0,28.9,0,28.9,0,28.9,0,28.9,100,28.9,98.7309261,28.9,0,28.9,0
29.1,0.2302495,29.1,0.7453195,29.1,0,29.1,0,29.1,0,29.1,100,29.1,100,29.1,0,29.1,0,29.1,0,29.1,0,29.1,0,29.1,0,29.1,0,29.1,99.9944324,29.1,98.0359571,29.1,0,29.1,0
29.3,0.225968,29.3,0.7339435,29.3,0,29.3,0,29.3,0,29.3,100,29.3,100,29.3,0,29.3,0,29.3,0,29.3,0,29.3,0,29.3,0,29.3,0,29.3,99.9944324,29.3,97.1294758,29.3,0,29.3,0
29.5,0.2220777,29.5,0.7231965,29.5,0,29.5,0,29.5,0,29.5,100,29.5,100,29.5,0,29.5,0,29.5,0,29.5,0,29.5,0,29.5,0,29.5,0,29.5,99.9888648,29.5,96.1172383,29.5,0,29.5,0
29.7,0.217966,29.7,0.7120119,29.7,0,29.7,0,29.7,0,29.7,100,29.7,100,29.7,0,29.7,0,29.7,0,29.7,0,29.7,0,29.7,0,29.7,0,29.7,99.9443238,29.7,94.9539205,29.7,0,29.7,0
29.9,0.2140757,29.9,0.7018118,29.9,0,29.9,0,29.9,0,29.9,100,29.9,100,29.9,0,29.9,0,29.9,0,29.9,0,29.9,0,29.9,0,29.9,0,29.9,99.8886476,29.9,93.6546306,29.9,0,29.9,0
30.1,0.2098681,30.1,0.6907639,30.1,0,30.1,0,30.1,0,30.1,100,30.1,100,30.1,0,30.1,0,30.1,0,30.1,0,30.1,0,30.1,0,30.1,0,30.1,99.8385391,30.1,91.6452636,30.1,0,30.1,0
30.3,0.2058523,30.3,0.6800716,30.3,0,30.3,0,30.3,0,30.3,100,30.3,100,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,0,30.3,99.7828629,30.3,89.877625,30.3,0,30.3,0
30.5,0.2019472,30.5,0.6698441,30.5,0,30.5,0,30.5,0,30.5,100,30.5,100,30.5,0,30.5,0,30.5,0,30.5,0,30.5,0,30.5,0,30.5,0,30.5,99.6993486,30.5,87.9286901,30.5,0,30.5,0
30.7,0.197865,30.7,0.6589603,30.7,0,30.7,0,30.7,0,30.7,100,30.7,100,30.7,0,30.7,0,30.7,0,30.7,0,30.7,0,30.7,0,30.7,0,30.7,99.5601581,30.7,85.4962985,30.7,0,30.7,0
30.9,0.1937607,30.9,0.648268,30.9,0,30.9,0,30.9,0,30.9,100,30.9,100,30.9,0,30.9,0,30.9,0,30.9,0,30.9,0,30.9,0,30.9,0,30.9,99.3597238,30.9,83.5322556,30.9,0,30.9,0
31.1,0.1897154,31.1,0.6370561,31.1,0,31.1,0,31.1,0,31.1,100,31.1,100,31.1,0,31.1,0,31.1,0,31.1,0,31.1,0,31.1,0,31.1,0,31.1,99.0813429,31.1,81.3567004,31.1,0,31.1,0
31.3,0.1853305,31.3,0.6247229,31.3,0,31.3,0,31.3,0,31.3,100,31.3,100,31.3,0,31.3,0,31.3,0,31.3,0,31.3,0,31.3,0,31.3,0,31.3,98.6025277,31.3,78.9847409,31.3,0,31.3,0
31.5,0.1813591,31.5,0.6146322,31.5,0,31.5,0,31.5,0,31.5,100,31.5,100,31.5,0,31.5,0,31.5,0,31.5,0,31.5,0,31.5,0,31.5,0,31.5,98.1292801,31.5,76.2501889,31.5,0,31.5,0
31.7,0.1775574,31.7,0.6040766,31.7,0,31.7,0,31.7,0,31.7,100,31.7,100,31.7,0,31.7,0,31.7,0,31.7,0,31.7,0,31.7,0,31.7,0,31.7,97.5279773,31.7,73.8026892,31.7,0,31.7,0
31.9,0.173549,31.9,0.592892,31.9,0,31.9,0,31.9,0,31.9,100,31.9,100,31.9,0,31.9,0,31.9,0,31.9,0,31.9,0,31.9,0,31.9,0,31.9,96.6649964,31.9,71.1285693,31.9,0,31.9,0
32.1,0.1693265,32.1,0.5812152,32.1,0,32.1,0,32.1,0,32.1,100,32.1,100,32.1,0,32.1,0,32.1,0,32.1,0,32.1,0,32.1,0,32.1,0,32.1,95.7519069,32.1,67.9105605,32.1,0,32.1,0
32.3,0.1647645,32.3,0.5679797,32.3,0,32.3,0,32.3,0,32.3,100,32.3,100,32.3,0,32.3,0,32.3,0,32.3,0,32.3,0,32.3,0,32.3,0,32.3,94.4713546,32.3,65.0098202,32.3,0,32.3,0
32.5,0.1598039,32.5,0.5535682,32.5,0,32.5,0,32.5,0,32.5,100,32.5,100,32.5,0,32.5,0,32.5,0,32.5,0,32.5,0,32.5,0,32.5,0,32.5,93.0126385,32.5,61.6558393,32.5,0,32.5,0
32.7,0.1552197,32.7,0.5406335,32.7,0,32.7,0,32.7,0,32.7,100,32.7,100,32.7,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,0,32.7,91.5316519,32.7,58.4378305,32.7,0,32.7,0
32.9,0.1507389,32.9,0.5276714,32.9,0,32.9,0,32.9,0,32.9,100,32.9,100,32.9,0,32.9,0,32.9,0,32.9,0,32.9,0,32.9,0,32.9,0,32.9,90.1564501,32.9,54.8270131,32.9,0,32.9,0
33.1,0.1462728,33.1,0.514682,33.1,0,33.1,0,33.1,0,33.1,100,33.1,99.8727735,33.1,0,33.1,0,33.1,0,33.1,0,33.1,0,33.1,0,33.1,0,33.1,88.8257892,33.1,50.7629551,33.1,0,33.1,0
33.3,0.1409209,33.3,0.4987666,33.3,0,33.3,0,33.3,0,33.3,100,33.3,95.0381679,33.3,0,33.3,0,33.3,0,33.3,0,33.3,0,33.3,0,33.3,0,33.3,87.1722064,33.3,45.7470917,33.3,0,33.3,0
33.5,0.1346979,33.5,0.4787218,33.5,0,33.5,0,33.5,0,33.5,100,33.5,83.524173,33.5,0,33.5,0,33.5,0,33.5,0,33.5,0,33.5,0,33.5,0,33.5,85.3126218,33.5,39.2808581,33.5,0,33.5,0
33.7,0.1290729,33.7,0.4603725,33.7,0,33.7,0,33.7,0,33.7,100,33.7,75.3180662,33.7,0,33.7,0,33.7,0,33.7,0,33.7,0,33.7,0,33.7,0,33.7,83.4363343,33.7,33.9326182,33.7,0,33.7,0
33.9,0.1234257,33.9,0.4414764,33.9,0,33.9,0,33.9,0,33.9,100,33.9,67.7480916,33.9,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9,0,33.9,81.3540449,33.9,29.082943,33.9,0,33.9,0
34.1,0.1179262,34.1,0.4229357,34.1,0,34.1,0,34.1,0,34.1,100,34.1,59.4783715,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,0,34.1,79.3831078,34.1,24.0972957,34.1,0,34.1,0
34.3,0.1123971,34.3,0.4037387,34.3,0,34.3,0,34.3,0,34.3,100,34.3,50,34.3,0,34.3,0,34.3,0,34.3,0,34.3,0,34.3,0,34.3,0,34.3,77.1950337,34.3,19.3533766,34.3,0,34.3,0
34.5,0.1074808,34.5,0.3866747,34.5,0,34.5,0,34.5,0,34.5,100,34.5,39.56743,34.5,0,34.5,0,34.5,0,34.5,0,34.5,0,34.5,0,34.5,0,34.5,75.2407995,34.5,15.1080224,34.5,0,34.5,0
34.7,0.1020698,34.7,0.3677511,34.7,0,34.7,0,34.7,0,34.7,99.9846908,34.7,29.5165394,34.7,0,34.7,0,34.7,0,34.7,0,34.7,0,34.7,0,34.7,0,34.7,72.7298035,34.7,11.2403686,34.7,0,34.7,0
34.9,0.0970354,34.9,0.3500035,34.9,0,34.9,0,34.9,0,34.9,99.6478873,34.9,22.5826972,34.9,0,34.9,0,34.9,0,34.9,0,34.9,0,34.9,0,34.9,0,34.9,70.1798341,34.9,8.082792,34.9,0,34.9,0
35.1,0.0918902,35.1,0.3315721,35.1,0,35.1,0,35.1,0,35.1,98.9895897,35.1,16.1577608,35.1,0,35.1,0,35.1,0,35.1,0,35.1,0,35.1,0,35.1,0,35.1,67.2846723,35.1,5.4842121,35.1,0,35.1,0
35.3,0.0864275,35.3,0.3121564,35.3,0,35.3,0,35.3,0,35.3,97.9179424,35.3,9.2239186,35.3,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3,64.0832916,35.3,2.9913884,35.3,0,35.3,0
35.5,0.0811199,35.5,0.2933696,35.5,0,35.5,0,35.5,0,35.5,96.463564,35.5,4.1984733,35.5,0,35.5,0,35.5,0,35.5,0,35.5,0,35.5,0,35.5,0,35.5,60.7148822,35.5,1.2690739,35.5,0,35.5,0
35.7,0.0764324,35.7,0.2767705,35.7,0,35.7,0,35.7,0,35.7,94.4274342,35.7,1.0814249,35.7,0,35.7,0,35.7,0,35.7,0,35.7,0,35.7,0,35.7,0,35.7,57.5190691,35.7,0.3474845,35.7,0,35.7,0
35.9,0.0712134,35.9,0.2586673,35.9,0,35.9,0,35.9,0,35.9,91.6105328,35.9,0,35.9,0,35.9,0,35.9,0,35.9,0,35.9,0,35.9,0,35.9,0,35.9,53.7108179,35.9,0,35.9,0,35.9,0
36.1,0.0653964,36.1,0.2383218,36.1,0,36.1,0,36.1,0,36.1,87.4157991,36.1,0,36.1,0,36.1,0,36.1,0,36.1,0,36.1,0,36.1,0,36.1,0,36.1,49.3235343,36.1,0,36.1,0,36.1,0
36.3,0.0589373,36.3,0.2157065,36.3,0,36.3,0,36.3,0,36.3,81.5370484,36.3,0,36.3,0,36.3,0,36.3,0,36.3,0,36.3,0,36.3,0,36.3,0,36.3,44.4518679,36.3,0,36.3,0,36.3,0
36.5,0.0517104,36.5,0.1901105,36.5,0,36.5,0,36.5,0,36.5,73.8364972,36.5,0,36.5,0,36.5,0,36.5,0,36.5,0,36.5,0,36.5,0,36.5,0,36.5,39.0011692,36.5,0,36.5,0,36.5,0
36.7,0.044011,36.7,0.1624088,36.7,0,36.7,0,36.7,0,36.7,65.8603797,36.7,0,36.7,0,36.7,0,36.7,0,36.7,0,36.7,0,36.7,0,36.7,0,36.7,33.1941429,36.7,0,36.7,0,36.7,0
36.9,0.0358909,36.9,0.132957,36.9,0,36.9,0,36.9,0,36.9,56.5676669,36.9,0,36.9,0,36.9,0,36.9,0,36.9,0,36.9,0,36.9,0,36.9,0,36.9,27.0697623,36.9,0,36.9,0,36.9,0
37.1,0.0278151,37.1,0.1030403,37.1,0,37.1,0,37.1,0,37.1,46.4176363,37.1,0,37.1,0,37.1,0,37.1,0,37.1,0,37.1,0,37.1,0,37.1,0,37.1,20.9787874,37.1,0,37.1,0,37.1,0
37.3,0.0197097,37.3,0.0730142,37.3,0,37.3,0,37.3,0,37.3,34.675444,37.3,0,37.3,0,37.3,0,37.3,0,37.3,0,37.3,0,37.3,0,37.3,0,37.3,14.865542,37.3,0,37.3,0,37.3,0
37.5,0.0124164,37.5,0.0459962,37.5,0,37.5,0,37.5,0,37.5,22.6117575,37.5,0,37.5,0,37.5,0,37.5,0,37.5,0,37.5,0,37.5,0,37.5,0,37.5,9.3647347,37.5,0,37.5,0,37.5,0
37.7,0.0067397,37.7,0.024967,37.7,0,37.7,0,37.7,0,37.7,13.0740968,37.7,0,37.7,0,37.7,0,37.7,0,37.7,0,37.7,0,37.7,0,37.7,0,37.7,5.0832359,37.7,0,37.7,0,37.7,0
37.9,0.00236222,37.9,0.00875077,37.9,0,37.9,0,37.9,0,37.9,4.776485,37.9,0,37.9,0,37.9,0,37.9,0,37.9,0,37.9,0,37.9,0,37.9,0,37.9,1.781638,37.9,0,37.9,0,37.9,0
38.1,0.000841539,38.1,0.00311746,38.1,0,38.1,0,38.1,0,38.1,1.7452541,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0,38.1,0.6347085,38.1,0,38.1,0,38.1,0
38.3,0.000125493,38.3,0.000464885,38.3,0,38.3,0,38.3,0,38.3,0.2602572,38.3,0,38.3,0,38.3,0,38.3,0,38.3,0,38.3,0,38.3,0,38.3,0,38.3,0.0946495,38.3,0,38.3,0,38.3,0
38.5,0,38.5,0,38.5,0,38.5,0,38.5,0,38.5,0,38.5,0,38.5,0,38.5,0,38.5,0,38.5,0,38.5,0,38.5,0,38.5,0,38.5,0,38.5,0,38.5,0,38.5,0
